frame,time,prob,box,emotions,facs,descriptions
0,0.0,0.9999998807907104,"{'x': 747.1016845703125, 'y': 286.01422119140625, 'w': 364.543701171875, 'h': 444.88507080078125}","[{'name': 'Admiration', 'score': 0.12545110285282135}, {'name': 'Adoration', 'score': 0.09096242487430573}, {'name': 'Aesthetic Appreciation', 'score': 0.09075650572776794}, {'name': 'Amusement', 'score': 0.13909201323986053}, {'name': 'Anger', 'score': 0.06538307666778564}, {'name': 'Anxiety', 'score': 0.13362319767475128}, {'name': 'Awe', 'score': 0.08392689377069473}, {'name': 'Awkwardness', 'score': 0.20851193368434906}, {'name': 'Boredom', 'score': 0.626832902431488}, {'name': 'Calmness', 'score': 0.8111584186553955}, {'name': 'Concentration', 'score': 0.6069472432136536}, {'name': 'Confusion', 'score': 0.32194221019744873}, {'name': 'Contemplation', 'score': 0.2513306438922882}, {'name': 'Contempt', 'score': 0.1868480145931244}, {'name': 'Contentment', 'score': 0.20321598649024963}, {'name': 'Craving', 'score': 0.05521557852625847}, {'name': 'Desire', 'score': 0.056224603205919266}, {'name': 'Determination', 'score': 0.14923886954784393}, {'name': 'Disappointment', 'score': 0.2777780294418335}, {'name': 'Disgust', 'score': 0.06191696599125862}, {'name': 'Distress', 'score': 0.13696447014808655}, {'name': 'Doubt', 'score': 0.30390188097953796}, {'name': 'Ecstasy', 'score': 0.02877025119960308}, {'name': 'Embarrassment', 'score': 0.07999512553215027}, {'name': 'Empathic Pain', 'score': 0.06501619517803192}, {'name': 'Entrancement', 'score': 0.16416646540164948}, {'name': 'Envy', 'score': 0.0539274662733078}, {'name': 'Excitement', 'score': 0.05835362523794174}, {'name': 'Fear', 'score': 0.07252845913171768}, {'name': 'Guilt', 'score': 0.07070540636777878}, {'name': 'Horror', 'score': 0.02799180895090103}, {'name': 'Interest', 'score': 0.3862578868865967}, {'name': 'Joy', 'score': 0.10345511138439178}, {'name': 'Love', 'score': 0.11299281567335129}, {'name': 'Nostalgia', 'score': 0.08211523294448853}, {'name': 'Pain', 'score': 0.06347192078828812}, {'name': 'Pride', 'score': 0.08444675803184509}, {'name': 'Realization', 'score': 0.1529620885848999}, {'name': 'Relief', 'score': 0.08609743416309357}, {'name': 'Romance', 'score': 0.05364283174276352}, {'name': 'Sadness', 'score': 0.17937816679477692}, {'name': 'Satisfaction', 'score': 0.15186183154582977}, {'name': 'Shame', 'score': 0.06007395684719086}, {'name': 'Surprise (negative)', 'score': 0.043338216841220856}, {'name': 'Surprise (positive)', 'score': 0.04094170406460762}, {'name': 'Sympathy', 'score': 0.07808429002761841}, {'name': 'Tiredness', 'score': 0.2886068820953369}, {'name': 'Triumph', 'score': 0.02925913594663143}]",,
8,0.32,0.9999942779541016,"{'x': 755.1231689453125, 'y': 257.9297790527344, 'w': 359.906982421875, 'h': 469.9157409667969}","[{'name': 'Admiration', 'score': 0.13754817843437195}, {'name': 'Adoration', 'score': 0.10292335599660873}, {'name': 'Aesthetic Appreciation', 'score': 0.0940491259098053}, {'name': 'Amusement', 'score': 0.17763672769069672}, {'name': 'Anger', 'score': 0.05663289502263069}, {'name': 'Anxiety', 'score': 0.12339253723621368}, {'name': 'Awe', 'score': 0.0957396924495697}, {'name': 'Awkwardness', 'score': 0.22606149315834045}, {'name': 'Boredom', 'score': 0.5595410466194153}, {'name': 'Calmness', 'score': 0.7648133039474487}, {'name': 'Concentration', 'score': 0.5638197660446167}, {'name': 'Confusion', 'score': 0.325569212436676}, {'name': 'Contemplation', 'score': 0.22898206114768982}, {'name': 'Contempt', 'score': 0.17791731655597687}, {'name': 'Contentment', 'score': 0.21625712513923645}, {'name': 'Craving', 'score': 0.0568116270005703}, {'name': 'Desire', 'score': 0.05761450529098511}, {'name': 'Determination', 'score': 0.13594584167003632}, {'name': 'Disappointment', 'score': 0.25122570991516113}, {'name': 'Disgust', 'score': 0.06194353103637695}, {'name': 'Distress', 'score': 0.12691032886505127}, {'name': 'Doubt', 'score': 0.29817038774490356}, {'name': 'Ecstasy', 'score': 0.03275728225708008}, {'name': 'Embarrassment', 'score': 0.08273542672395706}, {'name': 'Empathic Pain', 'score': 0.06234601140022278}, {'name': 'Entrancement', 'score': 0.15888115763664246}, {'name': 'Envy', 'score': 0.052858926355838776}, {'name': 'Excitement', 'score': 0.0762958750128746}, {'name': 'Fear', 'score': 0.07451646775007248}, {'name': 'Guilt', 'score': 0.06405090540647507}, {'name': 'Horror', 'score': 0.0319790355861187}, {'name': 'Interest', 'score': 0.4179041087627411}, {'name': 'Joy', 'score': 0.13270950317382812}, {'name': 'Love', 'score': 0.12704534828662872}, {'name': 'Nostalgia', 'score': 0.08012204617261887}, {'name': 'Pain', 'score': 0.05833110585808754}, {'name': 'Pride', 'score': 0.08886319398880005}, {'name': 'Realization', 'score': 0.15509513020515442}, {'name': 'Relief', 'score': 0.08811275660991669}, {'name': 'Romance', 'score': 0.05509788170456886}, {'name': 'Sadness', 'score': 0.1577543169260025}, {'name': 'Satisfaction', 'score': 0.16921435296535492}, {'name': 'Shame', 'score': 0.055753443390131}, {'name': 'Surprise (negative)', 'score': 0.04966239631175995}, {'name': 'Surprise (positive)', 'score': 0.05142103135585785}, {'name': 'Sympathy', 'score': 0.0827857181429863}, {'name': 'Tiredness', 'score': 0.24690000712871552}, {'name': 'Triumph', 'score': 0.03277971222996712}]",,
17,0.68,1.0,"{'x': 697.274658203125, 'y': 194.4616241455078, 'w': 538.2349853515625, 'h': 699.7905731201172}","[{'name': 'Admiration', 'score': 0.15254534780979156}, {'name': 'Adoration', 'score': 0.11089950054883957}, {'name': 'Aesthetic Appreciation', 'score': 0.10076640546321869}, {'name': 'Amusement', 'score': 0.176873117685318}, {'name': 'Anger', 'score': 0.04877182096242905}, {'name': 'Anxiety', 'score': 0.12494730949401855}, {'name': 'Awe', 'score': 0.1541077196598053}, {'name': 'Awkwardness', 'score': 0.2080807089805603}, {'name': 'Boredom', 'score': 0.3744267523288727}, {'name': 'Calmness', 'score': 0.4330195188522339}, {'name': 'Concentration', 'score': 0.43610018491744995}, {'name': 'Confusion', 'score': 0.3617425858974457}, {'name': 'Contemplation', 'score': 0.2500944137573242}, {'name': 'Contempt', 'score': 0.16288071870803833}, {'name': 'Contentment', 'score': 0.1454397439956665}, {'name': 'Craving', 'score': 0.126536563038826}, {'name': 'Desire', 'score': 0.1790551096200943}, {'name': 'Determination', 'score': 0.12927421927452087}, {'name': 'Disappointment', 'score': 0.20776447653770447}, {'name': 'Disgust', 'score': 0.06760425865650177}, {'name': 'Distress', 'score': 0.13923391699790955}, {'name': 'Doubt', 'score': 0.27906808257102966}, {'name': 'Ecstasy', 'score': 0.056112371385097504}, {'name': 'Embarrassment', 'score': 0.0716514065861702}, {'name': 'Empathic Pain', 'score': 0.058736011385917664}, {'name': 'Entrancement', 'score': 0.18335175514221191}, {'name': 'Envy', 'score': 0.05001647397875786}, {'name': 'Excitement', 'score': 0.09308813512325287}, {'name': 'Fear', 'score': 0.09981968253850937}, {'name': 'Guilt', 'score': 0.05749186500906944}, {'name': 'Horror', 'score': 0.043943874537944794}, {'name': 'Interest', 'score': 0.3721162974834442}, {'name': 'Joy', 'score': 0.10936954617500305}, {'name': 'Love', 'score': 0.11884106695652008}, {'name': 'Nostalgia', 'score': 0.0813833698630333}, {'name': 'Pain', 'score': 0.07839274406433105}, {'name': 'Pride', 'score': 0.07817666232585907}, {'name': 'Realization', 'score': 0.19277271628379822}, {'name': 'Relief', 'score': 0.10212168842554092}, {'name': 'Romance', 'score': 0.07881313562393188}, {'name': 'Sadness', 'score': 0.13379958271980286}, {'name': 'Satisfaction', 'score': 0.18389977514743805}, {'name': 'Shame', 'score': 0.049160491675138474}, {'name': 'Surprise (negative)', 'score': 0.056794993579387665}, {'name': 'Surprise (positive)', 'score': 0.050001174211502075}, {'name': 'Sympathy', 'score': 0.05330199375748634}, {'name': 'Tiredness', 'score': 0.2074151337146759}, {'name': 'Triumph', 'score': 0.04611680284142494}]",,
25,1.0,0.9999997615814209,"{'x': 713.888671875, 'y': 186.381103515625, 'w': 546.1282958984375, 'h': 750.5467529296875}","[{'name': 'Admiration', 'score': 0.2536892592906952}, {'name': 'Adoration', 'score': 0.20128406584262848}, {'name': 'Aesthetic Appreciation', 'score': 0.1246972382068634}, {'name': 'Amusement', 'score': 0.3855012357234955}, {'name': 'Anger', 'score': 0.03395844250917435}, {'name': 'Anxiety', 'score': 0.08738592267036438}, {'name': 'Awe', 'score': 0.22055187821388245}, {'name': 'Awkwardness', 'score': 0.20213522017002106}, {'name': 'Boredom', 'score': 0.21483847498893738}, {'name': 'Calmness', 'score': 0.39967918395996094}, {'name': 'Concentration', 'score': 0.3390577733516693}, {'name': 'Confusion', 'score': 0.3017245829105377}, {'name': 'Contemplation', 'score': 0.19336606562137604}, {'name': 'Contempt', 'score': 0.12334403395652771}, {'name': 'Contentment', 'score': 0.22319047152996063}, {'name': 'Craving', 'score': 0.07524246722459793}, {'name': 'Desire', 'score': 0.09379396587610245}, {'name': 'Determination', 'score': 0.09806336462497711}, {'name': 'Disappointment', 'score': 0.13258260488510132}, {'name': 'Disgust', 'score': 0.048003409057855606}, {'name': 'Distress', 'score': 0.09682975709438324}, {'name': 'Doubt', 'score': 0.21518170833587646}, {'name': 'Ecstasy', 'score': 0.08699294924736023}, {'name': 'Embarrassment', 'score': 0.06580480188131332}, {'name': 'Empathic Pain', 'score': 0.043159209191799164}, {'name': 'Entrancement', 'score': 0.17803463339805603}, {'name': 'Envy', 'score': 0.04590544477105141}, {'name': 'Excitement', 'score': 0.21514792740345}, {'name': 'Fear', 'score': 0.08013635873794556}, {'name': 'Guilt', 'score': 0.03720606118440628}, {'name': 'Horror', 'score': 0.04242610186338425}, {'name': 'Interest', 'score': 0.4927823543548584}, {'name': 'Joy', 'score': 0.3245529532432556}, {'name': 'Love', 'score': 0.22057759761810303}, {'name': 'Nostalgia', 'score': 0.08898225426673889}, {'name': 'Pain', 'score': 0.05139876529574394}, {'name': 'Pride', 'score': 0.1168828010559082}, {'name': 'Realization', 'score': 0.20667554438114166}, {'name': 'Relief', 'score': 0.13898780941963196}, {'name': 'Romance', 'score': 0.07952217757701874}, {'name': 'Sadness', 'score': 0.07668287307024002}, {'name': 'Satisfaction', 'score': 0.270967572927475}, {'name': 'Shame', 'score': 0.03418029099702835}, {'name': 'Surprise (negative)', 'score': 0.05859404802322388}, {'name': 'Surprise (positive)', 'score': 0.08814868330955505}, {'name': 'Sympathy', 'score': 0.06413304805755615}, {'name': 'Tiredness', 'score': 0.12428528070449829}, {'name': 'Triumph', 'score': 0.07485304772853851}]",,
33,1.32,1.0,"{'x': 719.3956298828125, 'y': 187.5298614501953, 'w': 556.83203125, 'h': 753.0431976318359}","[{'name': 'Admiration', 'score': 0.23210111260414124}, {'name': 'Adoration', 'score': 0.1732630729675293}, {'name': 'Aesthetic Appreciation', 'score': 0.11181734502315521}, {'name': 'Amusement', 'score': 0.3141419589519501}, {'name': 'Anger', 'score': 0.045691072940826416}, {'name': 'Anxiety', 'score': 0.10447035729885101}, {'name': 'Awe', 'score': 0.25823259353637695}, {'name': 'Awkwardness', 'score': 0.18994973599910736}, {'name': 'Boredom', 'score': 0.2092214673757553}, {'name': 'Calmness', 'score': 0.3047153949737549}, {'name': 'Concentration', 'score': 0.31436657905578613}, {'name': 'Confusion', 'score': 0.32785412669181824}, {'name': 'Contemplation', 'score': 0.20083874464035034}, {'name': 'Contempt', 'score': 0.12551161646842957}, {'name': 'Contentment', 'score': 0.16565653681755066}, {'name': 'Craving', 'score': 0.08407571911811829}, {'name': 'Desire', 'score': 0.09593372046947479}, {'name': 'Determination', 'score': 0.10485345125198364}, {'name': 'Disappointment', 'score': 0.1495007872581482}, {'name': 'Disgust', 'score': 0.05610157176852226}, {'name': 'Distress', 'score': 0.12149980664253235}, {'name': 'Doubt', 'score': 0.22860798239707947}, {'name': 'Ecstasy', 'score': 0.08441011607646942}, {'name': 'Embarrassment', 'score': 0.06761902570724487}, {'name': 'Empathic Pain', 'score': 0.04990680143237114}, {'name': 'Entrancement', 'score': 0.174977645277977}, {'name': 'Envy', 'score': 0.04736431688070297}, {'name': 'Excitement', 'score': 0.19070713222026825}, {'name': 'Fear', 'score': 0.11261124908924103}, {'name': 'Guilt', 'score': 0.04216074198484421}, {'name': 'Horror', 'score': 0.06049879267811775}, {'name': 'Interest', 'score': 0.420855849981308}, {'name': 'Joy', 'score': 0.24118712544441223}, {'name': 'Love', 'score': 0.17427684366703033}, {'name': 'Nostalgia', 'score': 0.08551175892353058}, {'name': 'Pain', 'score': 0.0684618204832077}, {'name': 'Pride', 'score': 0.1046244353055954}, {'name': 'Realization', 'score': 0.2205347865819931}, {'name': 'Relief', 'score': 0.1177133247256279}, {'name': 'Romance', 'score': 0.07031882554292679}, {'name': 'Sadness', 'score': 0.09397812932729721}, {'name': 'Satisfaction', 'score': 0.2153656780719757}, {'name': 'Shame', 'score': 0.03679894655942917}, {'name': 'Surprise (negative)', 'score': 0.07260154187679291}, {'name': 'Surprise (positive)', 'score': 0.0928691104054451}, {'name': 'Sympathy', 'score': 0.0539400577545166}, {'name': 'Tiredness', 'score': 0.12228164076805115}, {'name': 'Triumph', 'score': 0.07548768818378448}]",,
42,1.68,0.9999998807907104,"{'x': 697.9871826171875, 'y': 214.88735961914062, 'w': 529.326416015625, 'h': 691.5531311035156}","[{'name': 'Admiration', 'score': 0.23279717564582825}, {'name': 'Adoration', 'score': 0.19055016338825226}, {'name': 'Aesthetic Appreciation', 'score': 0.12426221370697021}, {'name': 'Amusement', 'score': 0.3661707639694214}, {'name': 'Anger', 'score': 0.03590259701013565}, {'name': 'Anxiety', 'score': 0.09028705954551697}, {'name': 'Awe', 'score': 0.15973103046417236}, {'name': 'Awkwardness', 'score': 0.21744191646575928}, {'name': 'Boredom', 'score': 0.22285670042037964}, {'name': 'Calmness', 'score': 0.3901226222515106}, {'name': 'Concentration', 'score': 0.35964030027389526}, {'name': 'Confusion', 'score': 0.26519879698753357}, {'name': 'Contemplation', 'score': 0.19700758159160614}, {'name': 'Contempt', 'score': 0.13089115917682648}, {'name': 'Contentment', 'score': 0.21218211948871613}, {'name': 'Craving', 'score': 0.10919566452503204}, {'name': 'Desire', 'score': 0.154734268784523}, {'name': 'Determination', 'score': 0.11095279455184937}, {'name': 'Disappointment', 'score': 0.12322720885276794}, {'name': 'Disgust', 'score': 0.051263026893138885}, {'name': 'Distress', 'score': 0.0888906791806221}, {'name': 'Doubt', 'score': 0.19695603847503662}, {'name': 'Ecstasy', 'score': 0.08349724858999252}, {'name': 'Embarrassment', 'score': 0.064877450466156}, {'name': 'Empathic Pain', 'score': 0.03816462680697441}, {'name': 'Entrancement', 'score': 0.17415226995944977}, {'name': 'Envy', 'score': 0.04732348024845123}, {'name': 'Excitement', 'score': 0.19837811589241028}, {'name': 'Fear', 'score': 0.06898220628499985}, {'name': 'Guilt', 'score': 0.03745463117957115}, {'name': 'Horror', 'score': 0.032809074968099594}, {'name': 'Interest', 'score': 0.5000447630882263}, {'name': 'Joy', 'score': 0.2999759912490845}, {'name': 'Love', 'score': 0.2280561774969101}, {'name': 'Nostalgia', 'score': 0.08225102722644806}, {'name': 'Pain', 'score': 0.044976115226745605}, {'name': 'Pride', 'score': 0.11137702316045761}, {'name': 'Realization', 'score': 0.17088085412979126}, {'name': 'Relief', 'score': 0.1094127744436264}, {'name': 'Romance', 'score': 0.10010717809200287}, {'name': 'Sadness', 'score': 0.06620829552412033}, {'name': 'Satisfaction', 'score': 0.2748987376689911}, {'name': 'Shame', 'score': 0.035290610045194626}, {'name': 'Surprise (negative)', 'score': 0.04267917945981026}, {'name': 'Surprise (positive)', 'score': 0.055329322814941406}, {'name': 'Sympathy', 'score': 0.055304594337940216}, {'name': 'Tiredness', 'score': 0.10945737361907959}, {'name': 'Triumph', 'score': 0.07074187695980072}]",,
50,2.0,0.9999977350234985,"{'x': 674.79833984375, 'y': 222.3507080078125, 'w': 518.633056640625, 'h': 666.1715698242188}","[{'name': 'Admiration', 'score': 0.25507885217666626}, {'name': 'Adoration', 'score': 0.18403935432434082}, {'name': 'Aesthetic Appreciation', 'score': 0.12580542266368866}, {'name': 'Amusement', 'score': 0.29334408044815063}, {'name': 'Anger', 'score': 0.03334349766373634}, {'name': 'Anxiety', 'score': 0.0974440649151802}, {'name': 'Awe', 'score': 0.29105234146118164}, {'name': 'Awkwardness', 'score': 0.1796957105398178}, {'name': 'Boredom', 'score': 0.22497178614139557}, {'name': 'Calmness', 'score': 0.3184056282043457}, {'name': 'Concentration', 'score': 0.37422120571136475}, {'name': 'Confusion', 'score': 0.32280489802360535}, {'name': 'Contemplation', 'score': 0.24903041124343872}, {'name': 'Contempt', 'score': 0.1118459552526474}, {'name': 'Contentment', 'score': 0.1559828370809555}, {'name': 'Craving', 'score': 0.11194498836994171}, {'name': 'Desire', 'score': 0.1378856897354126}, {'name': 'Determination', 'score': 0.11108189076185226}, {'name': 'Disappointment', 'score': 0.12967465817928314}, {'name': 'Disgust', 'score': 0.03996468707919121}, {'name': 'Distress', 'score': 0.09936363995075226}, {'name': 'Doubt', 'score': 0.22887273132801056}, {'name': 'Ecstasy', 'score': 0.08325907588005066}, {'name': 'Embarrassment', 'score': 0.061089616268873215}, {'name': 'Empathic Pain', 'score': 0.0385550856590271}, {'name': 'Entrancement', 'score': 0.20775677263736725}, {'name': 'Envy', 'score': 0.04687583073973656}, {'name': 'Excitement', 'score': 0.1811584085226059}, {'name': 'Fear', 'score': 0.09638115763664246}, {'name': 'Guilt', 'score': 0.03874855488538742}, {'name': 'Horror', 'score': 0.05043940618634224}, {'name': 'Interest', 'score': 0.47352415323257446}, {'name': 'Joy', 'score': 0.20723561942577362}, {'name': 'Love', 'score': 0.1745040863752365}, {'name': 'Nostalgia', 'score': 0.08585541695356369}, {'name': 'Pain', 'score': 0.04536278918385506}, {'name': 'Pride', 'score': 0.09550876915454865}, {'name': 'Realization', 'score': 0.24083340167999268}, {'name': 'Relief', 'score': 0.11648894101381302}, {'name': 'Romance', 'score': 0.08730556070804596}, {'name': 'Sadness', 'score': 0.0685211792588234}, {'name': 'Satisfaction', 'score': 0.21405328810214996}, {'name': 'Shame', 'score': 0.033423859626054764}, {'name': 'Surprise (negative)', 'score': 0.06634879857301712}, {'name': 'Surprise (positive)', 'score': 0.09455303847789764}, {'name': 'Sympathy', 'score': 0.04903871566057205}, {'name': 'Tiredness', 'score': 0.12141725420951843}, {'name': 'Triumph', 'score': 0.06890556216239929}]",,
58,2.32,0.9999891519546509,"{'x': 656.67822265625, 'y': 222.52029418945312, 'w': 520.0584716796875, 'h': 650.2358703613281}","[{'name': 'Admiration', 'score': 0.1837158203125}, {'name': 'Adoration', 'score': 0.16539809107780457}, {'name': 'Aesthetic Appreciation', 'score': 0.11307846754789352}, {'name': 'Amusement', 'score': 0.3159516453742981}, {'name': 'Anger', 'score': 0.03813048452138901}, {'name': 'Anxiety', 'score': 0.0841469019651413}, {'name': 'Awe', 'score': 0.07392620295286179}, {'name': 'Awkwardness', 'score': 0.22682726383209229}, {'name': 'Boredom', 'score': 0.41300898790359497}, {'name': 'Calmness', 'score': 0.721712589263916}, {'name': 'Concentration', 'score': 0.43581622838974}, {'name': 'Confusion', 'score': 0.20952214300632477}, {'name': 'Contemplation', 'score': 0.20037084817886353}, {'name': 'Contempt', 'score': 0.16876307129859924}, {'name': 'Contentment', 'score': 0.3236567974090576}, {'name': 'Craving', 'score': 0.06887446343898773}, {'name': 'Desire', 'score': 0.09238052368164062}, {'name': 'Determination', 'score': 0.12189531326293945}, {'name': 'Disappointment', 'score': 0.18885494768619537}, {'name': 'Disgust', 'score': 0.04859944432973862}, {'name': 'Distress', 'score': 0.08807609975337982}, {'name': 'Doubt', 'score': 0.2143326699733734}, {'name': 'Ecstasy', 'score': 0.052175454795360565}, {'name': 'Embarrassment', 'score': 0.07609707117080688}, {'name': 'Empathic Pain', 'score': 0.04605074226856232}, {'name': 'Entrancement', 'score': 0.14220885932445526}, {'name': 'Envy', 'score': 0.047549162060022354}, {'name': 'Excitement', 'score': 0.12325160205364227}, {'name': 'Fear', 'score': 0.04100741073489189}, {'name': 'Guilt', 'score': 0.04742061346769333}, {'name': 'Horror', 'score': 0.017233511433005333}, {'name': 'Interest', 'score': 0.459581583738327}, {'name': 'Joy', 'score': 0.2698310315608978}, {'name': 'Love', 'score': 0.23447370529174805}, {'name': 'Nostalgia', 'score': 0.09063136577606201}, {'name': 'Pain', 'score': 0.04504348710179329}, {'name': 'Pride', 'score': 0.13512267172336578}, {'name': 'Realization', 'score': 0.13529306650161743}, {'name': 'Relief', 'score': 0.12021276354789734}, {'name': 'Romance', 'score': 0.08804136514663696}, {'name': 'Sadness', 'score': 0.09984765201807022}, {'name': 'Satisfaction', 'score': 0.320242315530777}, {'name': 'Shame', 'score': 0.047853533178567886}, {'name': 'Surprise (negative)', 'score': 0.02506730705499649}, {'name': 'Surprise (positive)', 'score': 0.03021470457315445}, {'name': 'Sympathy', 'score': 0.08263685554265976}, {'name': 'Tiredness', 'score': 0.1893170028924942}, {'name': 'Triumph', 'score': 0.05532413721084595}]",,
67,2.68,0.9999899864196777,"{'x': 656.071533203125, 'y': 207.89796447753906, 'w': 527.60009765625, 'h': 685.9413299560547}","[{'name': 'Admiration', 'score': 0.17020338773727417}, {'name': 'Adoration', 'score': 0.14236177504062653}, {'name': 'Aesthetic Appreciation', 'score': 0.11456787586212158}, {'name': 'Amusement', 'score': 0.26509547233581543}, {'name': 'Anger', 'score': 0.03402786701917648}, {'name': 'Anxiety', 'score': 0.09896274656057358}, {'name': 'Awe', 'score': 0.10120759159326553}, {'name': 'Awkwardness', 'score': 0.22525617480278015}, {'name': 'Boredom', 'score': 0.3604448437690735}, {'name': 'Calmness', 'score': 0.45567139983177185}, {'name': 'Concentration', 'score': 0.45372891426086426}, {'name': 'Confusion', 'score': 0.260389506816864}, {'name': 'Contemplation', 'score': 0.24088627099990845}, {'name': 'Contempt', 'score': 0.1425788402557373}, {'name': 'Contentment', 'score': 0.1786537766456604}, {'name': 'Craving', 'score': 0.19299589097499847}, {'name': 'Desire', 'score': 0.3285234868526459}, {'name': 'Determination', 'score': 0.13545560836791992}, {'name': 'Disappointment', 'score': 0.1505696177482605}, {'name': 'Disgust', 'score': 0.04779898747801781}, {'name': 'Distress', 'score': 0.09167856723070145}, {'name': 'Doubt', 'score': 0.22271455824375153}, {'name': 'Ecstasy', 'score': 0.06616809964179993}, {'name': 'Embarrassment', 'score': 0.06764521449804306}, {'name': 'Empathic Pain', 'score': 0.039521049708127975}, {'name': 'Entrancement', 'score': 0.17836777865886688}, {'name': 'Envy', 'score': 0.048637114465236664}, {'name': 'Excitement', 'score': 0.12793484330177307}, {'name': 'Fear', 'score': 0.05702345818281174}, {'name': 'Guilt', 'score': 0.047072842717170715}, {'name': 'Horror', 'score': 0.022997809574007988}, {'name': 'Interest', 'score': 0.48890218138694763}, {'name': 'Joy', 'score': 0.16986164450645447}, {'name': 'Love', 'score': 0.18540173768997192}, {'name': 'Nostalgia', 'score': 0.07563601434230804}, {'name': 'Pain', 'score': 0.04486928880214691}, {'name': 'Pride', 'score': 0.08616077899932861}, {'name': 'Realization', 'score': 0.14907212555408478}, {'name': 'Relief', 'score': 0.08717957884073257}, {'name': 'Romance', 'score': 0.13128960132598877}, {'name': 'Sadness', 'score': 0.08374375104904175}, {'name': 'Satisfaction', 'score': 0.2536117434501648}, {'name': 'Shame', 'score': 0.04378601163625717}, {'name': 'Surprise (negative)', 'score': 0.03104574792087078}, {'name': 'Surprise (positive)', 'score': 0.03328781574964523}, {'name': 'Sympathy', 'score': 0.05162014812231064}, {'name': 'Tiredness', 'score': 0.15811806917190552}, {'name': 'Triumph', 'score': 0.04937649518251419}]",,
75,3.0,0.9999994039535522,"{'x': 662.5592651367188, 'y': 209.13157653808594, 'w': 528.1372680664062, 'h': 673.3977203369141}","[{'name': 'Admiration', 'score': 0.19097504019737244}, {'name': 'Adoration', 'score': 0.15385952591896057}, {'name': 'Aesthetic Appreciation', 'score': 0.11902705579996109}, {'name': 'Amusement', 'score': 0.24678435921669006}, {'name': 'Anger', 'score': 0.04266729578375816}, {'name': 'Anxiety', 'score': 0.11008487641811371}, {'name': 'Awe', 'score': 0.0933341234922409}, {'name': 'Awkwardness', 'score': 0.22832277417182922}, {'name': 'Boredom', 'score': 0.3695933520793915}, {'name': 'Calmness', 'score': 0.5285386443138123}, {'name': 'Concentration', 'score': 0.4971468150615692}, {'name': 'Confusion', 'score': 0.24376177787780762}, {'name': 'Contemplation', 'score': 0.28264471888542175}, {'name': 'Contempt', 'score': 0.16317494213581085}, {'name': 'Contentment', 'score': 0.20526421070098877}, {'name': 'Craving', 'score': 0.1410454511642456}, {'name': 'Desire', 'score': 0.1692095249891281}, {'name': 'Determination', 'score': 0.16370831429958344}, {'name': 'Disappointment', 'score': 0.19206196069717407}, {'name': 'Disgust', 'score': 0.04364047944545746}, {'name': 'Distress', 'score': 0.0990910455584526}, {'name': 'Doubt', 'score': 0.2547582685947418}, {'name': 'Ecstasy', 'score': 0.047554753720760345}, {'name': 'Embarrassment', 'score': 0.07917805016040802}, {'name': 'Empathic Pain', 'score': 0.045393090695142746}, {'name': 'Entrancement', 'score': 0.1672254353761673}, {'name': 'Envy', 'score': 0.05576617270708084}, {'name': 'Excitement', 'score': 0.10656006634235382}, {'name': 'Fear', 'score': 0.0571151077747345}, {'name': 'Guilt', 'score': 0.05859747529029846}, {'name': 'Horror', 'score': 0.020887592807412148}, {'name': 'Interest', 'score': 0.480958491563797}, {'name': 'Joy', 'score': 0.15897183120250702}, {'name': 'Love', 'score': 0.18087953329086304}, {'name': 'Nostalgia', 'score': 0.0901799276471138}, {'name': 'Pain', 'score': 0.045015618205070496}, {'name': 'Pride', 'score': 0.11291971802711487}, {'name': 'Realization', 'score': 0.1597241461277008}, {'name': 'Relief', 'score': 0.08561939001083374}, {'name': 'Romance', 'score': 0.10743497312068939}, {'name': 'Sadness', 'score': 0.10357005149126053}, {'name': 'Satisfaction', 'score': 0.23240263760089874}, {'name': 'Shame', 'score': 0.05242625251412392}, {'name': 'Surprise (negative)', 'score': 0.027256814762949944}, {'name': 'Surprise (positive)', 'score': 0.02949507348239422}, {'name': 'Sympathy', 'score': 0.06391443312168121}, {'name': 'Tiredness', 'score': 0.15211819112300873}, {'name': 'Triumph', 'score': 0.05109463259577751}]",,
